"Marca temporal"                  ,"¿Qué edad tienes?" ,"Provincia de Residencia" ,"En caso de residir en la Habana, ¿puede especificar el municipio?" ,"Creencia religiosa"       ,"¿Qué situación te describe mejor?" ,"Orientación sexual" ,"Sexo asignado al nacer:" ,"Identidad de género:"                            ,"Nivel Académico"                      ,"A tu opinión, ¿qué tan generalizado está el lenguaje ofensivo hacia personas de la comunidad LGBTIQ+?" ,"¿Qué tan frecuente se ven parejas del mismo sexo caminando de la mano en público?" ,"¿Qué tan frecuente se ven parejas heterosexuales caminando de la mano en público?" ,"¿Es necesaria la capacitación de funcionarios públicos (por ejemplo: policías, maestros, etc) sobre los derechos de las personas LGBTIQ+?" ,"¿Es necesario abordar temas sobre orientación sexual e identidad de género en la etapa escolar?" ,"¿Consideras que la comunidad LGBTIQ+ está sobre-sexualizada?" ,"Sobre su respuesta anterior, explique el porqué de su selección. "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"¿Es necesario la celebración del Orgullo en Cuba?" ,"¿Los subgrupos L,G,B deberían ser separados de TQI+?" ,"Sobre su respuesta anterior, explique el porqué de su selección."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"¿Es difícil encontrar una pareja monógama en la comunidad LGBTIQ+?" ,"¿Ha sido víctima de agresión, en su sentido más general, por su orientación sexual/ identidad de género?" ,"En caso positivo de la pregunta anterior, ¿podría especificar en que contexto?"                     ,"¿Te harían sentir cómodo políticas antidiscriminatorias referidas a la orientación sexual/identidad de género en el lugar de trabajo?" ,"¿Vives abiertamente tu orientación sexual/identidad de género?" ,"¿Los shows de Drag son aptos para toda la población (menores incluidos)?" ,"¿Qué tan representativas son las redes sociales y app de citas, en tu vida sentimental y sexual?" ,"¿Qué tan desagradable calificaría su experiencia en Apps de citas? en una escala del 1 al 10." ,"¿Por qué?"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"En lo correspondiente a su orientación sexual/ identidad de género, ¿qué tan satisfecho se encuentra con su vida? en una escala del 1 al 10." ,""
"2024/03/10 12:50:59 p. m. GMT-4" ,"20"                ,"La Habana"               ,"Centro Habana"                                                     ,"Protestante"              ,"No estoy en una relación."         ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(0) Desconozco"                                                                                        ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"Muy en desacuerdo."                                                                                                                        ,"No lo considero apropiado."                                                                      ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es para nada necesario."                        ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"No tengo una opinión formada."                                                                                                         ,""                                                               ,"Muy en desacuerdo."                                                       ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/10 1:13:38 p. m. GMT-4"  ,"20"                ,"La Habana"               ,""                                                                  ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Bisexual."          ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(3) Generalizado"                                                                                      ,"(3) A veces"                                                                       ,"(3) A veces"                                                                       ,"Esta bien actualmente."                                                                                                                    ,"No lo considero apropiado."                                                                      ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es para nada necesario."                        ,"Si, deberían ser separados."                          ,"Porque la orientación sexual no tiene nada que ver con la identidad de género."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Es difícil, pero no imposible."                                     ,"Sí, agresión simbólica."                                                                                  ,"Contexto familiar."                                                                                 ,"Está bien actualmente."                                                                                                                ,"Selectivamente abierta."                                        ,"Muy en desacuerdo."                                                       ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/10 1:24:23 p. m. GMT-4"  ,"43"                ,"La Habana"               ,"Marianao"                                                          ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Pansexual."         ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(4) Muy Generalizado"                                                                                  ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación primaria."                                                                   ,"No, la comunidad es más que solo sexo."                       ,"Hay elementos psicosociales y demográficos que, aunque que atraviesan el tema sexual, no son EL tema sexual. Igualmente podemos plantear que los derechos sexuales y reproductivos que la comunidad exige que sean respetados y tenidos en cuenta no son los únicos que se precisa defender."                                                                                                                                                                                                                                                                                                                                                                               ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,"No entendería esa separación "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"No es tan dificil, solo hay que buscar en el lugar correcto."       ,"Sí, agresión simbólica."                                                                                  ,"Contexto académico.;Contexto laboral.;Contexto familiar.;Amigos y relaciones.;En un lugar público." ,"Muy de acuerdo."                                                                                                                       ,"Selectivamente abierta."                                        ,"De acuerdo."                                                              ,"La mayoría de mis relaciones/encuentros las he conocido online."                                  ,"4"                                                                                             ,"No permiten hacer juicios críticos de personas por falta de información inicial. Mucha gente es poco clara y honesta con sus expectativas y ofertas "                                                                                                                                                                                                                                                                                                                                                                      ,"4"                                                                                                                                            ,""
"2024/03/10 1:42:32 p. m. GMT-4"  ,"34"                ,"Camaguey"                ,""                                                                  ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(4) Muy Generalizado"                                                                                  ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación primaria."                                                                   ,"Sí, totalmente de acuerdo."                                   ,"En el sentido común está instaurada la idea de que son hipersexuales y eso trasciende al lenguaje de medios, escuelas, funcionarios, etc."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"Sí, es muy necesario."                             ,"No tiene sentido tal separación."                     ,"Firman parte del universo grupo marginado y subalterno que, aunque con con diferencias internas y formas de opresión específicas, de forma general son categorizados y descalificados por el patriarcado de forma unitaria. Por tanto la lucha y articulación debe de tener un frente común "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,"Es bastante sencillo."                                              ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/10 1:51:12 p. m. GMT-4"  ,"20"                ,"La Habana"               ,"San Miguel del Padron"                                             ,"Evangélismo"              ,"No estoy en una relación."         ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(3) Generalizado"                                                                                      ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"De acuerdo."                                                                                                                               ,"Sí, en la educación media-superior y técnica."                                                   ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"En desacuerdo."                                                           ,"No uso las redes en tal sentido."                                                                 ,"1"                                                                                             ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"6"                                                                                                                                            ,""
"2024/03/10 2:39:08 p. m. GMT-4"  ,"20"                ,"Matanzas"                ,""                                                                  ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(4) Muy Generalizado"                                                                                  ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación secundaria."                                                                 ,"No, la comunidad es más que solo sexo."                       ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"En desacuerdo."                                                           ,"No suelo quedar con personas que conozco online."                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"6"                                                                                                                                            ,""
"2024/03/10 3:07:53 p. m. GMT-4"  ,"22"                ,"La Habana"               ,"Boyeros"                                                           ,"Agnósticismo"             ,"Viviendo con pareja/cónyuge."      ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(0) Desconozco"                                                                                        ,"(4) Rara vez"                                                                      ,"(3) A veces"                                                                       ,"Muy en desacuerdo."                                                                                                                        ,"Sí, en la educación secundaria."                                                                 ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,"No utilizo este tipo de apps"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"10"                                                                                                                                           ,""
"2024/03/10 3:46:35 p. m. GMT-4"  ,"20"                ,"La Habana"               ,"Centro Habana"                                                     ,"Agnósticismo"             ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(0) Desconozco"                                                                                        ,"(3) A veces"                                                                       ,"(3) A veces"                                                                       ,"Esta bien actualmente."                                                                                                                    ,"No lo considero apropiado."                                                                      ,"Sí, totalmente de acuerdo."                                   ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"No tiene sentido tal separación."                     ,"De entrada veo innecesaria tanta diferenciación, las personas deberían ser felices con sus gustos y entendiéndolos ellos mismos; no es necesario que el mundo conozca y etiquete tu orientación o enfoque sexual-sentimental."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy en desacuerdo."                                                                                                                    ,""                                                               ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/10 4:43:57 p. m. GMT-4"  ,"20"                ,"La Habana"               ,"Plaza de La Revolución"                                            ,"Ateísmo"                  ,"Viviendo con pareja/cónyuge."      ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Medio-Superior (Preuniversitario)"    ,"(0) Desconozco"                                                                                        ,"(4) Rara vez"                                                                      ,"(1) Todo el tiempo"                                                                ,"De acuerdo."                                                                                                                               ,"Sí, en la educación secundaria."                                                                 ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Es necesario, pero debe ser regulado."             ,"No tiene sentido tal separación."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"En desacuerdo."                                                           ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/10 5:46:45 p. m. GMT-4"  ,"20"                ,"Artemisa"                ,""                                                                  ,"Evangélismo"              ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Masculino"               ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(0) Desconozco"                                                                                        ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"En desacuerdo."                                                                                                                            ,"No lo considero apropiado."                                                                      ,"Tal vez."                                                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"Tal vez, deberían diferenciarse."                     ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"No tengo una opinión formada."                                      ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,"5"                                                                                             ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/10 6:19:59 p. m. GMT-4"  ,"19"                ,"La Habana"               ,"Cotorro"                                                           ,"Agnósticismo"             ,"No estoy en una relación."         ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(2) Poco generalizado"                                                                                 ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"De acuerdo."                                                                                                                               ,"No lo considero apropiado."                                                                      ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"No es necesario, pero no me molestaría."           ,"No tiene sentido tal separación."                     ,"En realidad la diferencia mayor que veo radica en la aceptación física en dicha separación, los LGB tienen una orientación sexual diferente a la que se ha considerado histórica y socialmente normal, mientras que el resto no se sienten identificados con su género de nacimiento (al menos de manera más bien general y desde mi punto de vista). Por tanto podría existir una diferenciación, aunque no es necesaria y los derechos por los que luchan suelen estar bastante parejos."                                                                                                                                                                                                                                                                                                                                                                                                                       ,"Es bastante sencillo."                                              ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"Muy de acuerdo."                                                                                                                       ,"Abiertamente, sin filtros"                                      ,"De acuerdo."                                                              ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"10"                                                                                                                                           ,""
"2024/03/10 9:21:09 p. m. GMT-4"  ,"19"                ,"La Habana"               ,""                                                                  ,"Ateísmo"                  ,"En una relación sin vivir juntos"  ,"Heterosexual."      ,"Femenino"                ,"⁠cisgénero (coincide el sexo con la identidad)"   ,"Superior (Universitario o posterior)" ,"(2) Poco generalizado"                                                                                 ,"(3) A veces"                                                                       ,"(1) Todo el tiempo"                                                                ,"Muy de acuerdo."                                                                                                                           ,"Sí, en la educación primaria."                                                                   ,"No tengo una opinión formada."                                ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,"Sí, es muy necesario."                             ,"No tengo una opinión formada."                        ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Es bastante sencillo."                                              ,"No he sido víctima."                                                                                      ,""                                                                                                   ,"De acuerdo."                                                                                                                           ,"Abiertamente, sin filtros"                                      ,"No tengo una opinión formada."                                            ,"No uso las redes en tal sentido."                                                                 ,""                                                                                              ,""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"9"                                                                                                                                            ,""
